Correct Word,Incorrect Word
Original,Origiqal
Consignee,Consig+ee
Cargo,Caruo
Vessel,Vyssel
Freight,Freig+t
Carrier,Carriez
Freight,m#eihht
Reference,Referen%e
Cargo,Cargx
Packages,Packagcs
Marks,Mtrks
Original,Originpl
Exporter,yxporter
Date,Datf
Goods,Goo+s
Reference,Reference
Invoice,Ipvoi%l
Notify,Noti#y
Container,Conqainzr
Container,Conta+ner
Exporter,Exp+rter
Gross,Grogm
Packages,Packagzs
Consignee,C+nsignee
Invoice,Invoi=e
Date,+ate
Copy,Cupy
Seal,Syam
Document,*ltument
Document,D+cument
Marks,Mcrkd
Number,Npmber
Document,wocument
Notify,Notivy
Exporter,Exporten
Consignee,Consimnee
Seal,Seap
Gross,Gros*
Description,Descriptimn
Importer,Im+orter
Signature,Sig=ature
Bill,=ill
Original,iviginll
Exporter,#ipurter
Gross,cross
Freight,Fre%ght
Container,Con+ainer
Gross,Grqss
Description,cescriptioh
Delivery,Deliver=
Number,Nwmber
Destination,Destinapion
Date,Daue
Consignee,Conaignee
Net,oet
Destination,xestinatpvn
Packages,Packager
Description,De+cription
Net,aet
Container,qontainer
Seal,Sea*
Packages,Packajbs
Document,#ocument
Vessel,geskel
Date,Dat#
Signature,Sigoature
Date,Dafe
Copy,Copj
Destination,Destinatfon
Vessel,Veqsel
Carrier,Carrirr
Shipper,Shivper
Reference,#eference
Delivery,njliverq
Bill,B%lu
Net,Nec
Gross,Gzpss
Gross,G+oss
Shipper,Shippe#
Document,mocument
Description,Dpscription
Reference,Refe%ence
Date,Datt
Seal,Sea+
Goods,#oods
Delivery,selivery
Shipper,Shnbpeq
Seal,Sqal
Net,Nex
Document,Doeument
Copy,Cory
Goods,Gdods
Packages,hhcrages
Invoice,In=oice
Signature,Sirha*ure
Weight,Weizrt
Destination,De#tination
Carrier,iarrier
Freight,Freirht
Bill,Bpll
Bill,Bilh
Bill,jvll
Copy,go%y
Carrier,Carrie=
Signature,%ignature
Seal,Seaq
Copy,*opy
Carrier,Carrjer
Measure,Measur#
Freight,Frei#ht
Freight,Freigh#
Importer,Importwr
Measure,Measuce
Document,ooaument
Signature,pignatur+
Delivery,Deliv%ry
Goods,Go%ds
Measure,Meacure
Port,Poba
Cargo,lir*o
Packages,Packam%s
Vessel,Vessel
Consignee,Consig%ee
Consignee,Consiggee
Delivery,Deliwery
Goods,Go=ds
Seal,%eal
Seal,Seay
Notify,Not%fy
Goods,Good+
Destination,D+stination
Carrier,Ckrrie*
Description,Descr#ption
Port,P=rt
Packages,Pack*ges
Consignee,ponszgnme
Net,mvt
Description,Descriptiot
Marks,Markv
Description,Descript#on
Consignee,Consxgnee
Packages,Packyges
Bill,Bial
Measure,Measur+
Exporter,Epporber
Document,Dxcument
Number,N*mbfr
Cargo,Carg#
Container,C=ntainer
Signature,jigsgture
Original,Originil
Marks,Majks
Consignee,Consigneu
Cargo,Cargg
Vessel,Vessjs
Marks,Mar#s
Shipper,S%ipper
Copy,Co=y
Cargo,Carg*
Port,P=rt
Bill,pild
Weight,%eight
Number,pum+er
Vessel,xessel
Gross,Gkors
Exporter,ixporzer
Goods,Go#ds
Invoice,Invoiqe
Consignee,C+nsignee
Shipper,Shigper
Delivery,Deliv+ry
Document,Domument
Vessel,Vessol
Weight,Wbight
Weight,#eight
Freight,F%eight
Delivery,Deliv+ry
Consignee,Consign*e
Weight,ceiqht
Signature,Signat#re
Signature,Signrture
Carrier,Cirrifr
Measure,+easure
Port,Po+t
Exporter,%xporter
Exporter,*xporter
Marks,Mark%
Marks,Marbs
Packages,Packagrs
Packages,=ackagpt
Shipper,qhipper
Destination,Destinqtion
Cargo,*argo
Destination,D=stination
Invoice,zsvoice
Reference,Refere+ce
Signature,Signa#ure
Measure,Mw=sere
Marks,Mar#s
Description,ses=ription
Importer,I=porter
Invoice,Infoice
Goods,Govds
Number,N#mber
Original,Oricinal
Description,Descript*on
Shipper,Shkpper
Measure,Measurw
Importer,cmporter
Bill,#ill
Date,D+te
Shipper,ghipper
Goods,toods
Port,Pogr
Seal,Seol
Date,zate
Bill,Bil#
Signature,Signalure
Original,#riginal
Container,Contasner
Destination,Destinatizn
Signature,Signatsre
Copy,C*py
Signature,S*ggatare
Importer,Im+orter
Marks,Mlrks
Net,Nus
Importer,Imp=rter
Net,Nct
Seal,meac
Goods,Goors
Marks,Mar%s
Invoice,Invoece
Freight,Fmeight
Port,%ort
Port,rort
Notify,Notrfy
Net,qav
Marks,Mamks
Bill,Bila
Delivery,D+livery
Date,Da+e
Marks,Marms
Consignee,Consigeeh
Container,hgntainer
Measure,Measu%e
Net,get
Exporter,Expoiter
Seal,S%al
Net,Ne=
Bill,Bil=
Document,Docume*t
Consignee,Consig#ee
Number,*umber
Importer,Iwporter
Importer,Importe#
Importer,Import%r
Container,Cont=iner
Number,N=mbeh
Description,Dyscriptzo#
Measure,Mzasure
Description,Descrivti+n
Importer,Importe+
Net,#et
Net,N=t
Invoice,Invoics
Carrier,Carr*er
Measure,Measur#
Document,Documens
Copy,Cooy
Document,Documenk
Destination,*estination
Document,Docu=ent
Bill,bill
Measure,Meajure
Net,=et
Cargo,Cargc
Destination,Destinttion
Packages,P=ckages
Original,Origina+
Measure,Megsure
Importer,Imoo#tef
Destination,De#tination
Measure,Measu+e
Copy,Copu
Goods,Gooxs
Carrier,+arrier
Seal,beal
Port,oort
Description,Descripqion
Exporter,Exp*rter
Copy,zopt
Weight,teight
Description,mescrnption
Gross,Gposs
Shipper,#hipper
Reference,Refergnce
Importer,Importei
Gross,G#oss
Shipper,Shipuer
Date,%atq
Gross,Grpss
Net,N#t
Document,Do*ument
Bill,mill
Exporter,Exborter
Port,P+rt
Document,Doculent
Marks,Mark+
Document,Documen=
Goods,moots
Reference,jeference
Cargo,Caa%r
Consignee,#onsignee
Notify,N#tify
Cargo,Cargg
Exporter,E%poster
Copy,japy
Document,Dkcument
Description,Descviption
Invoice,Inzooue
Original,Oaiginal
Reference,Reference
Exporter,ux*orcer
Vessel,Vesse=
Delivery,=elivery
Marks,Mark%
Gross,Grwss
Container,Contfiner
Gross,Gr#ss
Cargo,Cfrgo
Original,Otiginfd
Consignee,Cohsignee
Notify,Nqtify
Invoice,Inv#ice
Exporter,pxporter
Goods,Goodt
Gross,uro=s
Invoice,qnvoice
Port,Pyie
Document,D#cument
Packages,Packageg
Bill,uiz*
Exporter,Expor+er
Marks,Mauks
Cargo,Ca+go
Date,D*te
Port,P%rt
Consignee,Consrgnee
Bill,+ill
Delivery,Dzlivery
Carrier,Carrmer
Original,Ortginal
Measure,Me=sure
Marks,Mar#s
Packages,Package#
Invoice,Invoqce
Copy,Copi
Exporter,Euporter
Copy,Co%y
Cargo,uaqgk
Cargo,Carg+
Weight,xeight
Marks,Marbs
Invoice,j#toice
Measure,Measire
Notify,Notufy
Freight,xreight
Notify,Nowify
Date,yate
Importer,I+porter
Bill,Bivl
Description,Descriptio+
Importer,tmporter
Weight,Weiaht
Carrier,Carwier
Consignee,Cons#gnee
Number,yumber
Exporter,Exporteg
Description,Dedcription
Bill,Bzll
Original,Or%ginal
Notify,Nxtify
Reference,Refereyce
Container,Cintainer
Seal,deal
Measure,Mea%ure
Packages,Packag+s
Vessel,Vesuel
Notify,Notifw
Cargo,C*rgo
Invoice,*nvoice
Original,Originaj
Importer,Imuorter
Number,Numqer
Port,#of*
Gross,Grvss
Importer,Ifpsrter
Port,P+rt
Document,Documevt
Original,Originao
Reference,=eference
Packages,Packiges
Container,Coniainvr
Original,nrininal
Net,Nev
Invoice,Inuoice
Copy,=opy
Consignee,Conxignee
Gross,Gr#ss
Container,Conaainer
Seal,S=*l
Carrier,Ca+rier
Importer,mmportez
Description,Dgsxription
Importer,Ilporten
Original,O+iginal
Copy,C%py
Document,Docucent
Original,Originbl
Description,Descripti+n
Number,Nuwber
Cargo,Cargd
Signature,Signatu#u
Original,Ogiginau
Document,Do=ument
Vessel,neduel
Freight,F#eight
Original,wriginal
Carrier,Caroier
Goods,Goojs
Vessel,Vess+l
Document,Documen=
Bill,Biil
Goods,ufots
Container,Containkr
Number,Numbe=
Destination,Destina#ion
Description,Description
Bill,dill
Invoice,Invofce
Document,%ocument
Signature,#ignature
Reference,Rrference
Notify,Notufy
Seal,Sqll
Packages,Paekages
Cargo,Cyrgo
Description,#escription
Delivery,Delivery
Invoice,+nvoice
Net,rem
Consignee,Cznsignee
Gross,Grops
Measure,M=asure
Exporter,sxporte+
Cargo,Ca#go
Description,D%scriptior
Document,hocamgnt
Vessel,Vesshl
Description,Des%ription
Seal,Sea%
Notify,Notqpy
Goods,Gocds
Cargo,Catto
Notify,Noti#y
Seal,#eal
Cargo,Camgo
Importer,Imsorter
Consignee,Con%ignee
Carrier,rarrier
Destination,Destinatbon
Signature,Signat*re
Delivery,Delpver%
Gross,eross
Description,Descrtption
Weight,Weijht
Exporter,Expo=ter
Number,Nu+ber
Consignee,Consignke
Original,Ori=inal
Document,Documen=
Freight,Frei%ht
Gross,Gross
Consignee,vonsignee
Gross,Grhss
Freight,Freigh=
Copy,Copm
Container,Conlxsner
Date,Dk=e
Delivery,Del%very
Bill,nill
Exporter,Eoporter
Measure,Measu=e
Document,Dovument
Freight,Frv=ght
Original,*riginal
Consignee,jonsiqnee
Marks,Markt
Measure,Measurl
Notify,No#ify
Copy,=opy
Marks,Ma+ks
Port,Por*
Destination,Destinatiin
Original,Originau
Reference,Referen%e
Bill,Bi=l
Freight,Freigxt
Carrier,Carrieo
Invoice,Invfic%
Bill,Bil#
Port,Pord
Container,Contaixer
Measure,Measur+
Document,Dxcument
Cargo,Carko
Reference,Re*erence
Importer,Imp#rter
Importer,Iwporter
Cargo,Car+o
Notify,Noti#=
Packages,Pac+ages
Copy,Co+y
Container,Cont#iner
Gross,Gmoss
Notify,joq*fy
Port,Phrt
Number,Numeer
Measure,M=asurg
Goods,boons
Invoice,Invoi#e
Net,oet
Importer,empouber
Measure,Measu*e
Port,Por#
Vessel,jemsel
Document,Domutent
Port,kort
Exporter,Exportek
Port,Pprt
Signature,Spgnature
Document,Dobument
Marks,Manks
Weight,Weigst
Exporter,Eapwrter
Net,reh
Destination,De#tination
Signature,Signat*re
Goods,Good=
Document,+ocument
Description,Descriptson
Bill,Bi#l
Port,=ort
Description,Deycription
Signature,vigvature
Importer,I*porter
Freight,Freiaht
Destination,Destinat=on
Weight,geimht
Original,Orig+nal
Delivery,Deqivery
Measure,beacure
Notify,dotify
Notify,Notiay
Consignee,Cbnsignee
Bill,%ill
Notify,Nowiww
Marks,Markm
Goods,Gaods
Reference,Remerence
Description,Descrlption
Delivery,uelivera
Port,*ort
Bill,Bipl
Reference,Referfnce
Notify,wvtify
Vessel,wdssvl
Invoice,In%oice
Bill,Bpd+
Destination,De=tination
Notify,=ktify
Packages,Pamkages
Seal,qeal
Container,Contaicer
Container,Contain=r
Date,Daje
Marks,Marcj
Seal,Se=l
Copy,Couy
Goods,Good%
Reference,R%ference
Bill,usvl
Reference,Referen%e
Date,Da+e
Goods,Go=ds
Copy,C%py
Bill,*ill
Shipper,Stipper
Invoice,Inaoice
Destination,Destin*tion
Goods,G=ods
Cargo,Carg#
Consignee,Consigyee
Packages,Pacaages
Delivery,De*ivery
Document,Docyment
Goods,kooos
Date,Datw
Carrier,Ca=rier
Description,=escription
Container,C#ntainer
Gross,Grams
Notify,Notdfy
Exporter,Exforter
Consignee,Consig*ee
Delivery,Deli#ery
Destination,Destinatitn
Gross,Gros+
Importer,Importeb
Description,Descriptiow
Measure,yefsvre
Weight,Weighg
Goods,noods
Exporter,Exportqr
Reference,#eference
Measure,Measurn
Bill,B%ll
Port,Porf
Reference,Referencq
Gross,gross
Delivery,De#ivery
Original,Orxginal
Number,Numbe+
Carrier,Carrjer
Number,Number
Consignee,Consign=e
Cargo,Cs#no
Importer,Importe*
Original,friginac
Consignee,Cons%gnee
Reference,Refepence
Date,Datg
Original,=riginal
Container,Containkr
Importer,Impo%tjr
Importer,Impor+er
Date,#ate
Weight,Wehnht
Gross,Gioss
Marks,M+rks
Weight,Weighj
Invoice,Invoicy
Copy,C#cy
Packages,Pack=ges
Number,Numbeu
Carrier,Carrien
Reference,Referanc*
Vessel,V#ssel
Reference,Refererce
Bill,Bxll
Bill,B%ll
Weight,Weighk
Consignee,Consiglev
Goods,Go+ds
Importer,Impyrte=
Cargo,Ca+ro
Marks,Maeks
Gross,Gr#ss
Gross,Grows
Seal,Sea#
Net,*et
Shipper,Shilper
Shipper,Shippe#
Consignee,Con=ignee
Measure,Measur#
Importer,ymposter
Document,Doctment
Freight,Freigit
Port,Pbrt
Number,Num%sr
Importer,Importlr
Bill,B#ll
Number,Nuuber
Net,%et
Measure,M%asure
Importer,Im%orter
Vessel,Vussel
Shipper,Shippen
Original,Ojigjn=l
Freight,F%ecght
Vessel,*essel
Number,Numser
Original,Oragxnal
Carrier,Carri=r
Container,Coataincr
Reference,hefereure
Date,daae
Document,Docwment
Weight,Weizht
Document,Docu=ent
Notify,zotify
Cargo,lar#o
Packages,Packagys
Document,vocument
Carrier,Carri#r
Exporter,Expor#er
Invoice,Inloice
Consignee,Clnsignee
Original,Origin%l
Freight,Fre=ght
Importer,+mporter
Exporter,Expoitex
Invoice,I+voice
Cargo,Cafgo
Vessel,=essel
Bill,Bil%
Importer,Importex
Vessel,Ve*sel
Weight,Weicht
Net,Ntt
Signature,Si#nnture
Seal,Seai
Document,Do=ument
Marks,iarks
Net,fmt
Description,Descri#+ion
Original,Origital
Copy,dopy
Marks,Mark#
Delivery,Debvve*y
Shipper,Shipp=r
Copy,C+py
Consignee,Consignde
Document,D*cument
Invoice,Invoise
Cargo,Car*o
Measure,Measurh
Description,Description
Seal,*eal
Packages,Packagem
Notify,Notipy
Delivery,Delive*y
Description,#escription
Weight,+eight
Carrier,Carriev
Invoice,I+voice
Weight,Weighp
Signature,Sagnature
Description,Desc%iption
Bill,Bvll
Marks,M%rks
Measure,Mevsure
Port,vort
Goods,Gnods
Shipper,Sh*pper
Shipper,Shilper
Seal,Sqal
Carrier,Carri*r
Original,Orsginal
Number,Numrer
Measure,Me+sure
Measure,Measurg
Description,De%cription
Net,=ot
Exporter,Exhort#*
Vessel,Vesyel
Copy,gzpy
Shipper,Shi=per
Net,o=t
Packages,Packageo
Measure,M=asure
Consignee,Conjignee
Delivery,De+ivery
Marks,Marus
Net,Ne+
Bill,Bell
Container,Conta%ner
Signature,Sinnature
Notify,Notif+
Marks,M%rks
Port,Por=
Port,Pott
Notify,Nomiae
Goods,Goo=s
Reference,Refirenby
Original,Origina#
Shipper,S**pier
Notify,N#tify
Copy,*opy
Document,Documqnt
Cargo,Cjrgo
Bill,will
Invoice,Ifvofcz
Date,Dhte
Marks,Markv
Number,Numbe=
Seal,Saal
Port,Por+
Document,Documint
Document,Docutent
Delivery,Deliver%
Number,*umber
Number,bumber
Weight,Wekght
Cargo,Csrgo
Importer,Impoi+er
Freight,Freight
Freight,Frei=ht
Net,Nea
Container,Con+ainer
Exporter,Expocter
Carrier,Car#ier
Document,Dooument
Invoice,Invo=ce
Exporter,Ex%orter
Goods,foods
Reference,Referance
